              x:             Numerical_sol:      Analytical_sol:    Relative error
         0.090909091          0.47273682          0.50620471         0.066115337
          0.18181818          0.61250643          0.65586946         0.066115337
          0.27272727          0.61812678          0.66188771         0.066115337
          0.36363636          0.56969968          0.61003216         0.066115337
          0.45454545          0.49949740          0.53485984         0.066115337
          0.54545455          0.42052210          0.45029340         0.066115337
          0.63636364          0.33801224          0.36194216         0.066115337
          0.72727273          0.25407833          0.27206607         0.066115337
          0.81818182          0.16957070          0.18157563         0.066115337
          0.90909091         0.084831914         0.090837678         0.066115337
